Date Time,System Marginal Price (SMP)
2018-10-03 19:00:00,59.88
2018-10-03 20:00:00,56.63
2018-10-03 21:00:00,56.68
2018-10-03 22:00:00,54.14
2018-10-03 23:00:00,53.33
2018-10-04 00:00:00,49.23
2018-10-04 01:00:00,43.73
2018-10-04 02:00:00,39.92
2018-10-04 03:00:00,39.81
2018-10-04 04:00:00,39.72
2018-10-04 05:00:00,46.62
2018-10-04 06:00:00,55.85
2018-10-04 07:00:00,66.29
2018-10-04 08:00:00,54.25
2018-10-04 09:00:00,64.43
2018-10-04 10:00:00,62.37
2018-10-04 11:00:00,67.48
2018-10-04 12:00:00,68
2018-10-04 13:00:00,55.45
2018-10-04 14:00:00,53.46
2018-10-04 15:00:00,52.94
2018-10-04 16:00:00,53.55
2018-10-04 17:00:00,53.01
2018-10-04 18:00:00,52.68
2018-10-04 19:00:00,56.25
2018-10-04 20:00:00,52.68
2018-10-04 21:00:00,50.13
2018-10-04 22:00:00,42.55
2018-10-04 23:00:00,34.75
2018-10-05 00:00:00,34.44
2018-10-05 01:00:00,33.25
2018-10-05 02:00:00,33.25
2018-10-05 03:00:00,33.25
2018-10-05 04:00:00,33.25
2018-10-05 05:00:00,33.26
2018-10-05 06:00:00,36.7
